"Название";"ID";"Просмотры";"Канал";"Исходное видео";"Миниатюра"
"Russisch antwoord op Eurovision: traditioneel songfestival met politieke missie | RTL Nieuws";"srTiHYkWIPU";"432";"RTL Nieuws";"2ozKwlXEIgU";""
"В Белгородской области сотрудники МЧС усилили профилактику пожарной безопасности";"f_siIN2_owo";"1.8K";"МЧС Белгород";"2ozKwlXEIgU";""
"Кило наркоты, палёная ксива и 3 ведра денег. Real video";"ajbu_3qVaBQ";"221K";"Новости Шеремета Девять с половиной";"2ozKwlXEIgU";"https://i.ytimg.com/vi/ajbu_3qVaBQ/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDhMWFKErEwoXLZrvpYdZCTHIF4Dg"
"ПОСЛЕ КАКОЙ НАРКОТЫ ВЫ ПОДУМАЛИ ""БОЛЬШЕ НИКОГДА""? 💊";"h4AKn48AxHs";"1.2M";"апвоут";"2ozKwlXEIgU";"https://i.ytimg.com/vi/h4AKn48AxHs/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLB_ZWbG6Tk0kvJZO86MNVPdPDCIXA"
"МЕНТОВСКИЙ БЕСПРЕДЕЛ в ресторане ""Семь ПятниЦ""";"4E6RLFOh7ss";"24M";"РЕСТО ОБЗОР";"2ozKwlXEIgU";"https://i.ytimg.com/vi/4E6RLFOh7ss/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYSSBPKGUwDw==&rs=AOn4CLCN3EmZ2KXl68GplR38V_x_NvJxcA"
"В Клину задержали задержали закладчика с 30 граммами героина";"sximsq1AzZ4";"360K";"Вести Подмосковья";"2ozKwlXEIgU";"https://i.ytimg.com/vi/sximsq1AzZ4/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDEBPsgRpSnorK_539lTlx33OtU8w"
"Наркоманы и закладчики в одном из подъездов в Москве.";"d7OwTVqtdco";"291K";"Эд Иванопула";"2ozKwlXEIgU";"https://i.ytimg.com/vi/d7OwTVqtdco/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYZSBWKEUwDw==&rs=AOn4CLB3dqPi3PxQMo26rsMorB_AWh8SPg"
"FC Groningen ontvangt Telstar in eigen huis";"9rMfa9kq8sQ";"812";"OOG Groningen";"2ozKwlXEIgU";"https://i.ytimg.com/vi/9rMfa9kq8sQ/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDJFc8ZP1Mh0zN4-sAyUfDizSMPqQ"
"РУ СЕРВЕР ЭТО КОШМАР";"QBFgOJiRh8A";"14K";"Recrent";"2ozKwlXEIgU";"https://i.ytimg.com/vi/QBFgOJiRh8A/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCE3vfGkj5HY7KpnJT1wLdPQrYIHQ"
"""Скоростной"" наркопритон ""У Вовы"" с алиментщицей в ролях";"UHtH5qbFbfo";"1.3M";"Новости Шеремета Девять с половиной";"2ozKwlXEIgU";"https://i.ytimg.com/vi/UHtH5qbFbfo/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCdHvO98prjSZrWx3QKVbDNB7IotA"
